球员,球员(中),场均得分,排名,场均助攻,排名,场均篮板,排名,投篮命中率,排名,三分命中率,排名,罚球命中率,排名,场均盖帽,排名,场均抢断,排名,本赛季薪金
Iffe_lundberg,加布里埃尔 Lundberg,0,-,0,-,0,-,0%,-,0%,-,0%,-,0,-,0,-,0
bismack_biyombo,俾斯麦 比永博,0.5,-,0.5,-,1,-,33.30%,-,0%,-,0%,-,0,-,0,-,0
paul_george,保罗 乔治,24.5,-,5.7,-,6.9,-,41.80%,-,35.40%,91,85.80%,22,0.43,-,2.07,-,3934
kawhi_leonard,科怀 伦纳德,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,3934
norman_powell,诺曼 鲍威尔,18.7,-,2.2,-,3.2,-,46.30%,-,42.40%,-,80.90%,-,0.48,-,0.93,-,1552
marcus_morris,马库斯 莫里斯,15.3,-,2.1,-,4.5,-,43.40%,77,36.70%,72,87.20%,14,0.34,-,0.49,-,1488
luke_kennard,卢克 肯纳德,11.9,82,2.1,100,3.3,139,44.90%,-,44.90%,1,89.30%,-,0.1,185,0.6,135,1273
robert_covington,罗伯特 科温顿,8.6,-,1.3,-,5.4,-,42.40%,-,38.30%,-,84.10%,-,1.27,-,1.43,-,1214
reggie_jackson,雷吉 杰克逊,16.8,45,4.8,27,3.6,126,39.20%,98,32.60%,117,84.70%,32,0.2,145,0.7,105,1038
ivica_zubac,伊维察 祖巴茨,10.3,105,1.6,131,8.5,20,62.60%,4,0%,-,72.70%,84,1,20,0.5,163,675
nicolas_batum,尼古拉斯 巴图姆,8.3,147,1.7,127,4.3,96,46.30%,-,40.00%,19,65.80%,-,0.7,39,1,49,317
rodney_hood,罗德尼 胡德,3.2,-,0.7,-,1.5,-,37.20%,-,33.30%,-,89.50%,-,0.12,-,0.29,-,224
terance_mann,特伦斯 曼,10.8,96,2.6,79,5.3,61,48.40%,33,36.70%,-,78.00%,67,0.3,105,0.7,105,152
jason_preston,杰森 普雷斯顿,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,106
brandon_boston,小布兰登 波士顿,6.6,-,1,-,2.2,-,38.20%,-,29.50%,-,81.90%,-,0.26,-,0.52,-,93
jay_scrubb,杰伊 斯库布,2.7,-,0.4,-,0.8,-,39.10%,-,28.60%,-,70.00%,-,0.17,-,0.22,-,46
amir_coffey,阿米尔 科菲,9,130,1.8,121,2.9,158,45.30%,-,37.80%,54,86.30%,-,0.2,145,0.6,135,7
